# CREATED_DATE: 2023-02-01T18:00:43.822Z
# MODIFIED_DATE: 2024-02-14T10:03:44.841Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: NGC2708:[PWL2002]STR; (08:56:12.50, -03:17:58.99)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2023bee
# RA: 134.0484380100887
# DEC: -3.3255440014668474
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-02-01T17:59:54.816Z
# REDSHIFT: 0.006698
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-01-31T09:10:17Z
# NON_DETECT_LIMIT: 17.71
# MW_EBV: 0.014
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.jpeg
# POSTAGE_STAMP_REF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.jpeg
# POSTAGE_STAMP_DIFF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.fits
# POSTAGE_STAMP_REF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023bee
# REAL_BOGUS_SCORE: 0.0943543
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [10, 16, 21, 22, 29, 30, 32, 47, 68, 90, 100]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      60044.173  r-ZTF  79542.649  1787.361  15.248  0.024  None  P48  ZTF-Cam  None
OBS:      60046.157  r-ZTF  72450.252  2497.605  15.350  0.037  None  P48  ZTF-Cam  None
OBS:      60046.193  g-ZTF  48368.210  1825.252  15.789  0.041  None  P48  ZTF-Cam  None
OBS:      60050.207  r-ZTF  64458.473  1745.314  15.477  0.029  None  P48  ZTF-Cam  None
OBS:      60052.227  g-ZTF  45264.717  1397.419  15.861  0.034  None  P48  ZTF-Cam  None
OBS:      60054.174  g-ZTF  43076.455  1356.087  15.914  0.034  None  P48  ZTF-Cam  None
OBS:      60056.164  r-ZTF  54560.722  1549.579  15.658  0.031  None  P48  ZTF-Cam  None
OBS:      60056.207  g-ZTF  42563.776  1278.556  15.927  0.033  None  P48  ZTF-Cam  None
OBS:      60058.178  g-ZTF  40633.090  1409.255  15.978  0.038  None  P48  ZTF-Cam  None
OBS:      60058.199  r-ZTF  50118.723  1294.679  15.750  0.028  None  P48  ZTF-Cam  None
OBS:      60060.161  r-ZTF  50521.955  2649.325  15.741  0.057  None  P48  ZTF-Cam  None
OBS:      60060.205  g-ZTF  39127.284  1240.665  16.019  0.034  None  P48  ZTF-Cam  None
OBS:      60062.172  r-ZTF  45298.087  1433.328  15.860  0.034  None  P48  ZTF-Cam  None
OBS:      60062.215  g-ZTF  37868.655  1202.256  16.054  0.034  None  P48  ZTF-Cam  None
OBS:      60065.171  g-ZTF  36488.812  1017.062  16.095  0.030  None  P48  ZTF-Cam  None
OBS:      60065.229  r-ZTF  41327.576  1193.690  15.959  0.031  None  P48  ZTF-Cam  None
OBS:      60073.170  r-ZTF  33290.460  792.849  16.194  0.026  None  P48  ZTF-Cam  None
OBS:      60077.170  r-ZTF  29761.090  954.018  16.316  0.035  None  P48  ZTF-Cam  None
OBS:      60215.513  r-ZTF  1135.951  336.589  19.862  0.322  None  P48  ZTF-Cam  None
OBS:      60215.518  r-ZTF  1359.816  274.058  19.666  0.219  None  P48  ZTF-Cam  None
OBS:      60216.512  r-ZTF  1725.042  548.198  19.408  0.345  None  P48  ZTF-Cam  None
OBS:      60216.515  r-ZTF  1535.041  412.099  19.535  0.291  None  P48  ZTF-Cam  None
OBS:      60216.520  r-ZTF  1418.927  354.440  19.620  0.271  None  P48  ZTF-Cam  None
OBS:      60234.478  g-ZTF  3820.147  251.466  18.545  0.071  None  P48  ZTF-Cam  None
OBS:      60234.506  r-ZTF  1053.416  244.635  19.944  0.252  None  P48  ZTF-Cam  None
OBS:      60237.462  g-ZTF  3635.132  297.012  18.599  0.089  None  P48  ZTF-Cam  None
OBS:      60239.499  g-ZTF  3554.678  260.776  18.623  0.080  None  P48  ZTF-Cam  None
OBS:      60239.505  r-ZTF  957.547  175.229  20.047  0.199  None  P48  ZTF-Cam  None
OBS:      60244.519  g-ZTF  3548.458  322.475  18.625  0.099  None  P48  ZTF-Cam  None
OBS:      60248.523  g-ZTF  2900.549  609.918  18.844  0.228  None  P48  ZTF-Cam  None
OBS:      60251.463  r-ZTF  816.057  206.651  20.221  0.275  None  P48  ZTF-Cam  None
